Id_Usuario,Id_categoria,Titulo,Nivel
U0001,ING010,Grado en Bioingeniería,2
U0001,IDIOMA004,Aleman,6
U0001,IDIOMA007,Árabe,6
U0001,HAB012,Negociación y Pensamiento estategico,1
U0001,HAB008,Escucha activa y Resolución de conflictos,1
U0001,HAB004,Colaboracion y Trabajo en Equipo,1
U0002,SEAD03,Técnico Superior en Prevención de Riesgos Profesionales,2
U0002,IDIOMA001,Euskera,1
U0002,HAB0015,Trabajo bajo Presión,7
U0002,HAB002,Autogestión y Proactividad,1
U0002,HAB005,Compromiso y Motivación,1
U0003,SOCIALES103,"Grado en Finanzas, Banca y Seguros",2
U0003,IDIOMA002,Ingles,7
U0003,HAB012,Negociación y Pensamiento estategico,3
U0003,HAB003,Capacidad de Analisis y  de Toma de decisiones en base a Datos,1
U0003,HAB014,Pensamiento crítico y analitico,1
U0004,ARTES071,Grado en Estudios Internacionales,1
U0004,IDIOMA004,Aleman,5
U0004,IDIOMA006,Ruso,3
U0004,HAB005,Compromiso y Motivación,1
U0004,HAB006,Comunicación interpersonal y empatia,1
U0004,HAB007,Creatividad e Innovacion,1
U0005,DOBLE483,"Doble Grado en Publicidad, Relaciones Públicas y Marketing + Comunicación Audiovisual",2
U0005,IDIOMA002,Ingles,3
U0005,HAB004,Colaboracion y Trabajo en Equipo,1
U0005,HAB005,Compromiso y Motivación,1
U0005,HAB008,Escucha activa y Resolución de conflictos,1
U0006,ING022,Grado en Diseño,1
U0006,IDIOMA007,Árabe,4
U0006,"IDIOMA001	Euskera
HAB006	Comunicación interpersonal y empatia
HAB007	Creatividad e Innovacion",Euskera,2
U0006,HAB010,Habilidades Digitales,1
U0006,HAB005,Compromiso y Motivación,1
U0007,DOBLE339,Doble Grado en Ingeniería en Recursos Energéticos + Ingeniería Química Industrial,1
U0007,IDIOMA005,Chino,6
U0007,IDIOMA006,Ruso,5
U0007,HAB012,Negociación y Pensamiento estategico,1
U0007,HAB008,Escucha activa y Resolución de conflictos,1
U0007,HAB004,Colaboracion y Trabajo en Equipo,1
U0008,DOBLE220,Doble Grado en Farmacia + Óptica y Optometría,1
U0008,IDIOMA005,Chino,2
U0008,HAB024,Análisis financiero,1
U0008,HAB007,Proactividad,1
U0008,HAB035,Habilidades de observación,1
U0008,HAB010,Pensamiento crítico,1
U0009,DOBLE536,Doble Grado en Turismo + Marketing y Dirección Comercial,1
U0009,IDIOMA002,Ingles,2
U0009,HAB004,Colaboracion y Trabajo en Equipo,7
U0009,HAB007,Creatividad e Innovacion,1
U0009,HAB006,Comunicación interpersonal y empatia,1
U0010,ING040,Grado en Ingeniería Aeroespacial en Aeronavegación,1
U0010,IDIOMA006,Ruso,3
U0010,IDIOMA002,Ingles,6
U0010,HAB001,Adaptabilidad y Flexibilidad,1
U0010,HAB002,Autogestion y Proactividad,1
U0010,HAB004,Colaboracion y Trabajo en Equipo,1
U0011,IMSS05,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen",2
U0011,IDIOMA002,Ingles,1
U0011,HAB007,Creatividad e Innovacion,1
U0012,DOBLE125,Doble Grado en Derecho + Administración de Empresas,2
U0012,IDIOMA002,Ingles,7
U0012,IDIOMA003,Frances,2
U0012,HAB012,Negociación y Pensamiento estategico,1
U0012,HAB008,Escucha activa y Resolución de conflictos,1
U0012,HAB004,Colaboracion y Trabajo en Equipo,1
U0013,SOCIALES152,Grado en Marketing e Investigación de Mercados,2
U0013,IDIOMA002,Ingles,2
U0013,HAB004,Colaboracion y Trabajo en Equipo,2
U0013,HAB005,Compromiso y Motivación,1
U0013,HAB008,Escucha activa y Resolución de conflictos,1
U0014,ARTES042,Grado en Diseño y Desarrollo de Videojuegos,1
U0014,IDIOMA001,Ingles,3
U0014,IDIOMA005,Chino,4
U0014,HAB004,Colaboracion y Trabajo en Equipo,1
U0014,HAB013,Orientación al cliente,1
U0014,HAB007,Creatividad e Innovacion,1
U0015,SOCIALES021,Grado en Ciencias Criminológicas y de la Seguridad,2
U0015,IDIOMA004,Aleman,5
U0015,IDIOMA002,Ingles,1
U0015,IDIOMA001,Euskera,1
U0015,HAB004,Colaboracion y Trabajo en Equipo,1
U0015,HAB010,Habilidades Digitales,1
U0016,HAB008,Escucha activa y Resolución de conflictos,1
U0016,AGAR0108,Aprovechamientos forestales,1
U0016,IDIOMA002,Ingles,1
U0016,HAB002,Autogestion y Proactividad,1
U0016,HAB003,Capacidad de Analisis y  de Toma de decisiones en base a Datos,1
U0016,HAB004,Colaboracion y Trabajo en Equipo,1
U0017,DOBLE315,Doble Grado en Ingeniería Eléctrica + Ingeniería Electrónica Industrial y Automática,2
U0017,DOBLE325,Doble Grado en Ingeniería Electrónica Industrial y Automática + Ingeniería Eléctrica,6
U0017,IDIOMA002,Ingles,6
